xdate,yType,error_sum
20100104,Bondmink,0
20100105,Bondmink,0
20100106,Bondmink,0
20100107,Bondmink,0
20100108,Bondmink,0
20100111,Bondmink,0
20100112,Bondmink,0
20100113,Bondmink,0
20100114,Bondmink,0
20100115,Bondmink,0
20100118,Bondmink,0
20100119,Bondmink,0
20100120,Bondmink,0
20100121,Bondmink,0
20100122,Bondmink,2
20100125,Bondmink,55
20100126,Bondmink,4
20100127,Bondmink,2
20100128,Bondmink,1
20100129,Bondmink,1
20100201,Bondmink,0
20100202,Bondmink,0
20100203,Bondmink,1
20100204,Bondmink,1
20100205,Bondmink,1
20100208,Bondmink,0
20100209,Bondmink,0
20100210,Bondmink,0
20100211,Bondmink,1
20100212,Bondmink,1
20100222,Bondmink,2
20100223,Bondmink,0
20100224,Bondmink,1
20100225,Bondmink,1
20100226,Bondmink,2
20100301,Bondmink,0
20100302,Bondmink,0
20100303,Bondmink,0
20100304,Bondmink,4
20100305,Bondmink,3
20100308,Bondmink,2
20100309,Bondmink,2
20100310,Bondmink,0
20100311,Bondmink,2
20100312,Bondmink,4
20100315,Bondmink,2
20100316,Bondmink,0
20100317,Bondmink,3
20100318,Bondmink,2
20100319,Bondmink,2
20100322,Bondmink,0
20100323,Bondmink,0
20100324,Bondmink,0
20100325,Bondmink,4
20100326,Bondmink,1
20100329,Bondmink,1
20100330,Bondmink,0
20100331,Bondmink,0
20100401,Bondmink,0
20100402,Bondmink,0
20100406,Bondmink,0
20100407,Bondmink,0
20100408,Bondmink,2
20100409,Bondmink,1
20100412,Bondmink,2
20100413,Bondmink,3
20100414,Bondmink,57
20100415,Bondmink,2
20100416,Bondmink,3
20100419,Bondmink,6
20100420,Bondmink,2
20100421,Bondmink,1
20100422,Bondmink,2
20100423,Bondmink,5
20100426,Bondmink,3
20100427,Bondmink,2
20100428,Bondmink,0
20100429,Bondmink,0
20100430,Bondmink,2
20100504,Bondmink,1
20100505,Bondmink,3
20100506,Bondmink,4
20100507,Bondmink,0
20100510,Bondmink,0
20100511,Bondmink,2
20100512,Bondmink,1
20100513,Bondmink,1
20100514,Bondmink,0
20100517,Bondmink,2
20100518,Bondmink,0
20100519,Bondmink,0
20100520,Bondmink,0
20100521,Bondmink,0
20100524,Bondmink,0
20100525,Bondmink,2
20100526,Bondmink,1
20100527,Bondmink,2
20100528,Bondmink,0
20100531,Bondmink,2
20100601,Bondmink,0
20100602,Bondmink,0
20100603,Bondmink,0
20100604,Bondmink,0
20100607,Bondmink,0
20100608,Bondmink,0
20100609,Bondmink,1
20100610,Bondmink,2
20100611,Bondmink,3
20100617,Bondmink,4
20100618,Bondmink,0
20100621,Bondmink,0
20100622,Bondmink,0
20100623,Bondmink,0
20100624,Bondmink,0
20100625,Bondmink,0
20100628,Bondmink,0
20100629,Bondmink,2
20100630,Bondmink,0
20100701,Bondmink,0
20100702,Bondmink,4
20100705,Bondmink,0
20100706,Bondmink,0
20100707,Bondmink,0
20100708,Bondmink,0
20100709,Bondmink,0
20100712,Bondmink,1
20100713,Bondmink,1
20100714,Bondmink,1
20100715,Bondmink,1
20100716,Bondmink,8
20100719,Bondmink,1
20100720,Bondmink,0
20100721,Bondmink,0
20100722,Bondmink,0
20100723,Bondmink,0
20100726,Bondmink,0
20100727,Bondmink,0
20100728,Bondmink,1
20100729,Bondmink,0
20100730,Bondmink,0
20100802,Bondmink,0
20100803,Bondmink,0
20100804,Bondmink,0
20100805,Bondmink,0
20100806,Bondmink,0
20100809,Bondmink,1
20100810,Bondmink,2
20100811,Bondmink,0
20100812,Bondmink,0
20100813,Bondmink,1
20100816,Bondmink,0
20100817,Bondmink,0
20100818,Bondmink,1
20100819,Bondmink,1
20100820,Bondmink,0
20100823,Bondmink,0
20100824,Bondmink,0
20100825,Bondmink,0
20100826,Bondmink,0
20100827,Bondmink,0
20100830,Bondmink,0
20100831,Bondmink,0
20100901,Bondmink,1
20100902,Bondmink,1
20100903,Bondmink,2
20100906,Bondmink,0
20100907,Bondmink,0
20100908,Bondmink,0
20100909,Bondmink,0
20100910,Bondmink,2
20100913,Bondmink,1
20100914,Bondmink,3
20100915,Bondmink,2
20100916,Bondmink,2
20100917,Bondmink,0
20100920,Bondmink,0
20100921,Bondmink,0
20100927,Bondmink,1
20100928,Bondmink,1
20100929,Bondmink,1
20100930,Bondmink,1
20101008,Bondmink,1
20101011,Bondmink,2
20101012,Bondmink,2
20101013,Bondmink,2
20101014,Bondmink,4
20101015,Bondmink,0
20101018,Bondmink,0
20101019,Bondmink,0
20101020,Bondmink,1
20101021,Bondmink,2
20101022,Bondmink,426
20101025,Bondmink,0
20101026,Bondmink,1
20101027,Bondmink,0
20101028,Bondmink,0
20101029,Bondmink,0
20101101,Bondmink,0
20101102,Bondmink,0
20101103,Bondmink,0
20101104,Bondmink,0
20101105,Bondmink,2
20101108,Bondmink,2
20101109,Bondmink,2
20101110,Bondmink,0
20101111,Bondmink,1
20101112,Bondmink,6
20101115,Bondmink,4
20101116,Bondmink,4
20101117,Bondmink,0
