数据日期,数据大小,总错误条数,更新日期,数据来源,err_1,err_2,err_3,err_4,err_5,err_6,err_7,err_8,err_9,err_10
20100104,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100105,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100106,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100107,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100108,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100111,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100112,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100113,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100114,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100115,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100118,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100119,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100120,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100121,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100122,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100125,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100126,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100127,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100128,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100129,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100201,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100202,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100203,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100204,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100205,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100208,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100209,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100210,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100211,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100212,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100222,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100223,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100224,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100225,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100226,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100301,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100302,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100303,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100304,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100305,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100308,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100309,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100310,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100311,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100312,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100315,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100316,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100317,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100318,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100319,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100322,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100323,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100324,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100325,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100326,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100329,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100330,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100331,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100401,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100402,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100406,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100407,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100408,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100409,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100412,8.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100413,8.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100414,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100415,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100416,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100419,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100420,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100421,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100422,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100423,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100426,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100427,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100428,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100429,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100430,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100504,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100505,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100506,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
